City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mataura,-46.1927,168.8643,39.76,95,92,3.04,NZ,1621103994
1,Tongzi,28.7829,105.0877,64.63,72,100,4.32,CN,1621103994
2,Albany,42.6001,-73.9662,75.0,17,99,2.39,US,1621103757
3,Hobart,-42.8794,147.3294,48.2,66,90,10.36,AU,1621103813
4,Ushuaia,-54.8,-68.3,48.2,57,20,17.27,AR,1621103946
5,Xining,36.6167,101.7667,42.76,82,100,2.08,CN,1621103947
6,Bluff,-46.6,168.3333,43.84,85,100,16.44,NZ,1621103996
7,Saint Paul Harbor,57.79,-152.4072,44.6,81,90,3.44,US,1621103996
8,Camacha,33.0833,-16.3333,68.0,68,40,16.11,PT,1621103996
9,Nanortalik,60.1432,-45.2371,37.67,78,53,7.56,GL,1621103997
10,Tiksi,71.6872,128.8694,30.92,90,100,2.73,RU,1621103997
11,New Glasgow,45.5834,-62.6486,53.6,62,4,9.22,CA,1621103998
12,Vaini,-21.2,-175.2,75.2,94,20,5.75,TO,1621103998
13,Severo-Kuril'sk,50.6789,156.125,39.15,74,100,4.0,RU,1621103998
14,Arraial do Cabo,-22.9661,-42.0278,78.8,57,0,4.61,BR,1621103999
15,Kloulklubed,7.0419,134.2556,77.0,94,75,9.22,PW,1621103999
16,Rikitea,-23.1203,-134.9692,74.68,58,100,16.46,PF,1621104000
17,Tornio,65.8481,24.1466,53.6,71,75,8.05,FI,1621104000
18,Busselton,-33.65,115.3333,62.01,70,95,4.0,AU,1621104000
19,Pangkalanbuun,-2.6833,111.6167,75.36,95,53,1.54,ID,1621103916
20,Port Alfred,-33.5906,26.891,64.69,82,100,4.45,ZA,1621104001
21,Sire,12.9299,5.2043,94.93,24,53,5.12,NG,1621104001
22,Avarua,-21.2078,-159.775,78.8,73,96,2.3,CK,1621103918
23,Al Bardīyah,31.7561,25.0865,70.81,72,0,6.26,LY,1621104004
24,Havelock,34.8791,-76.9013,75.99,25,1,13.8,US,1621103807
25,Lompoc,34.6391,-120.4579,55.99,71,25,9.22,US,1621104005
26,Tromsø,69.6496,18.957,41.0,70,75,14.97,NO,1621104005
27,Ponta do Sol,32.6667,-17.1,69.8,64,20,16.11,PT,1621104005
28,Vynohradove,46.3696,32.9398,61.0,77,0,4.47,UA,1621104006
29,Pavlodar,52.3,76.95,55.4,76,0,6.71,KZ,1621104006
30,Nambour,-26.6333,152.95,57.0,64,1,3.0,AU,1621103954
31,Butaritari,3.0707,172.7902,82.29,79,32,17.45,KI,1621104007
32,Cape Town,-33.9258,18.4232,60.01,94,75,14.97,ZA,1621103797
33,Puerto Ayora,-0.7393,-90.3518,84.2,61,40,17.27,EC,1621104007
34,Kalispell,48.1958,-114.3129,69.01,37,1,5.75,US,1621103754
35,Thinadhoo,0.5333,72.9333,83.1,73,100,17.07,MV,1621104008
36,San Cristobal,7.7669,-72.225,89.6,55,20,11.5,VE,1621104008
37,Orcotuna,-11.9667,-75.3333,59.86,45,5,3.87,PE,1621104009
38,Bredasdorp,-34.5322,20.0403,59.0,94,100,3.44,ZA,1621104009
39,Barrow,71.2906,-156.7887,24.8,80,90,10.36,US,1621103749
40,Burnie,-41.0667,145.9167,45.0,92,100,5.99,AU,1621104010
41,Araouane,18.9048,-3.5265,100.4,7,2,9.75,ML,1621104010
42,Geraldton,-28.7667,114.6,68.0,42,5,8.05,AU,1621104010
43,Aykhal,66.0,111.5,27.88,96,100,14.63,RU,1621104011
44,Punta Arenas,-53.15,-70.9167,46.4,93,90,12.66,CL,1621104011
45,Tuktoyaktuk,69.4541,-133.0374,33.8,80,90,13.8,CA,1621104012
46,Leningradskiy,69.3833,178.4167,24.71,94,99,2.89,RU,1621104012
47,Chattanooga,35.0456,-85.3097,80.01,35,40,6.91,US,1621103861
48,Sechura,-5.5569,-80.8222,80.01,57,16,11.27,PE,1621104013
49,Cidreira,-30.1811,-50.2056,64.83,68,0,5.95,BR,1621104013
50,Yar-Sale,66.8333,70.8333,20.21,89,99,7.2,RU,1621104013
51,Thompson,55.7435,-97.8558,32.0,80,90,4.61,CA,1621104014
52,Bambous Virieux,-20.3428,57.7575,77.0,73,40,14.97,MU,1621104014
53,Qaanaaq,77.484,-69.3632,33.6,76,96,6.64,GL,1621104015
54,Lebu,-37.6167,-73.65,57.13,73,0,10.78,CL,1621104015
55,Kapaa,22.0752,-159.319,75.99,73,20,17.27,US,1621104015
56,Aktobe,50.2797,57.2072,68.0,52,0,2.24,KZ,1621104016
57,Flinders,-34.5833,150.8552,46.0,68,10,5.01,AU,1621104016
58,Buraidah,26.326,43.975,93.2,15,0,6.91,SA,1621104017
59,Conceição do Araguaia,-8.2578,-49.2647,89.6,48,0,3.44,BR,1621104017
60,Ossora,59.2353,163.0719,32.18,92,97,2.46,RU,1621104017
61,Chui,-33.6971,-53.4616,63.14,52,100,3.0,UY,1621104018
62,Port Elizabeth,-33.918,25.5701,60.8,88,0,8.05,ZA,1621104018
63,Luanda,-8.8368,13.2343,80.6,83,20,5.75,AO,1621103850
64,Hermanus,-34.4187,19.2345,57.0,95,100,7.18,ZA,1621104019
65,Dikson,73.5069,80.5464,22.42,81,99,8.63,RU,1621104019
66,Hithadhoo,-0.6,73.0833,83.93,71,100,16.75,MV,1621104020
67,Portneuf,46.6906,-71.8901,73.4,31,100,8.05,CA,1621104020
68,Severobaykal'sk,55.65,109.3167,35.89,96,100,8.46,RU,1621104020
69,Rawson,-43.3002,-65.1023,61.52,38,0,9.64,AR,1621104021
70,Tautira,-17.7333,-149.15,82.4,65,75,4.61,PF,1621104021
