City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,53.6,50,40,6.91,AR,1620793601
1,Enid,36.3956,-97.8784,48.0,87,1,6.91,US,1620793807
2,Huarmey,-10.0681,-78.1522,65.8,85,4,7.72,PE,1620793808
3,Hūn,29.1268,15.9477,78.75,26,0,4.07,LY,1620793808
4,Disna,55.568,28.1971,57.81,83,17,9.69,BY,1620793809
5,Krasnosel'kup,65.7,82.4667,35.42,94,100,13.69,RU,1620793809
6,Pisco,-13.7,-76.2167,64.4,82,20,2.3,PE,1620793810
7,Rikitea,-23.1203,-134.9692,77.99,78,25,23.58,PF,1620793762
8,Banda Aceh,5.5577,95.3222,85.71,70,66,4.21,ID,1620793810
9,Puerto Ayora,-0.7393,-90.3518,75.99,92,28,5.01,EC,1620793811
10,Chokurdakh,70.6333,147.9167,27.43,82,100,4.79,RU,1620793811
11,Pevek,69.7008,170.3133,25.45,82,100,0.78,RU,1620793811
12,Airai,-8.9266,125.4092,74.14,53,11,4.47,TL,1620793812
13,Butaritari,3.0707,172.7902,82.74,75,100,10.36,KI,1620793812
14,Qaanaaq,77.484,-69.3632,20.37,90,100,7.43,GL,1620793813
15,Saint-Leu,-21.15,55.2833,77.0,64,0,4.61,RE,1620793813
16,Jamestown,42.097,-79.2353,41.0,81,90,6.91,US,1620793813
17,Cabo San Lucas,22.8909,-109.9124,78.01,77,54,9.8,MX,1620793814
18,Klaksvík,62.2266,-6.589,37.4,75,82,6.91,FO,1620793814
19,Port Alfred,-33.5906,26.891,59.79,86,9,14.74,ZA,1620793815
20,Aksu,41.1231,80.2644,72.91,18,100,11.77,CN,1620793815
21,Yong’an,39.6957,113.6871,77.13,28,20,6.22,CN,1620793815
22,Mataura,-46.1927,168.8643,50.0,65,10,1.88,NZ,1620793816
23,Bredasdorp,-34.5322,20.0403,55.4,82,21,8.05,ZA,1620793816
24,Kapaa,22.0752,-159.319,78.8,65,40,12.66,US,1620793817
25,Vaini,-21.2,-175.2,77.0,73,20,10.36,TO,1620793817
26,New Norfolk,-42.7826,147.0587,57.99,70,5,1.99,AU,1620793817
27,Saint George,37.1041,-113.5841,73.4,10,1,11.5,US,1620793818
28,Dukat,62.55,155.55,29.75,87,100,5.1,RU,1620793818
29,Salalah,17.0151,54.0924,86.0,70,75,5.86,OM,1620793907
30,Namatanai,-3.6667,152.4333,83.8,69,51,6.08,PG,1620793907
31,Tuktoyaktuk,69.4541,-133.0374,21.2,93,90,21.85,CA,1620793908
32,Novo Aripuanã,-5.1206,-60.3797,72.45,98,65,2.3,BR,1620793908
33,Kaabong,3.4836,34.1492,64.44,81,98,1.57,UG,1620793909
34,Caconda,-13.7333,15.0667,51.35,70,0,4.0,AO,1620793909
35,Värnamo,57.186,14.04,53.01,86,100,10.4,SE,1620793910
36,Tasiilaq,65.6145,-37.6368,26.6,93,75,14.97,GL,1620793910
37,Atuona,-9.8,-139.0333,80.42,80,18,25.32,PF,1620793910
